Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"pretty long curly hairstyles";"29";"25";"10";"86.61";"0.00";"http://hairstylefoto.com/pretty-long-curly-hairstyles/";"0.00";"0.00";"0.07";"2040000";"1.00,0.50,0.50,1.00,0.50,1.00,0.50,0.50,1.00,0.50,0.50,1.00";"1484551416"
"pixie haircut for over 50";"78";"0";"20";"79.75";"0.12";"http://hairstylefoto.com/short-pixie-haircut/";"0.00";"0.00";"0.11";"1480000";"1.00,0.67,1.00,1.00,1.00,1.00,0.33,0.33,0.33,0.33,0.67,0.67";"1484984656"
"wavy hairstyles for long faces";"55";"57";"10";"83.56";"0.00";"http://hairstylefoto.com/wavy-hairstyles-for-long-faces/";"0.00";"0.00";"0.05";"4730000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1484537177"
"ladies short hairstyles for round faces";"34";"0";"20";"85.19";"0.23";"http://hairstylefoto.com/very-short-hairstyles-for-women-with-round-faces/";"0.00";"0.00";"0.11";"7470000";"0.33,0.33,1.00,0.33,0.33,0.33,0.67,1.00,0.33,0.67,0.33,0.33";"1484468056"
"beautiful braided hairstyles for long hair";"50";"0";"70";"88.15";"0.00";"http://hairstylefoto.com/braided-hairstyles-long-hair/";"0.00";"0.00";"0.12";"13300000";"0.56,0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33";"1482115228"
"cute hairstyles for baby girls";"41";"0";"50";"83.95";"0.00";"http://hairstylefoto.com/baby-girl-hairstyles/";"0.00";"0.00";"0.11";"4280000";"0.57,0.71,0.57,0.71,0.71,0.57,0.71,0.71,1.00,0.71,0.71,0.57";"1482994142"
"natural hair styles black hair";"33";"0";"50";"82.65";"1.79";"http://hairstylefoto.com/all-natural-hairstyles-black-hair/";"0.00";"0.00";"0.21";"3300000";"0.44,0.22,1.00,0.33,1.00,0.11,0.56,0.11,0.56,0.33,0.33,0.22";"1482130945"
"easy hairstyles for black kids";"36";"0";"40";"78.29";"0.11";"http://hairstylefoto.com/hairstyles-for-black-kids-with-long-hair/";"0.00";"0.00";"0.04";"6460000";"1.00,0.78,0.78,0.22,0.78,0.22,0.11,1.00,0.44,0.78,0.78,0.33";"1482406214"
"haircuts for growing out short hair";"62";"0";"90";"89.94";"0.01";"http://hairstylefoto.com/short-hairstyles-for-growing-out-a-pixie-cut/";"0.00";"0.00";"0.06";"1970000";"0.65,0.29,0.41,0.29,0.53,0.29,0.29,0.41,1.00,0.65,0.53,0.41";"1482894779"
"easy updos for long curly hair step by step";"45";"0";"10";"82.12";"0.00";"http://hairstylefoto.com/easy-updos-for-long-curly-hair/";"0.00";"0.00";"0.10";"2240000";"1.00,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50";"1484724048"
"simple hairstyles for long hair wedding";"68";"0";"90";"84.56";"0.00";"http://hairstylefoto.com/simple-bridal-hairstyles-for-long-hair/";"0.00";"0.00";"0.13";"1740000";"0.57,0.71,0.14,0.14,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71";"1485305347"
"cute haircuts for girls with round faces";"80";"0";"20";"84.43";"0.00";"http://hairstylefoto.com/short-cute-haircuts-for-round-faces/";"0.00";"0.00";"0.18";"14300000";"0.67,1.00,0.67,0.67,0.67,1.00,0.67,0.33,0.33,0.33,0.67,0.67";"1485093859"
"black hair blue eyes boys";"73";"57";"30";"85.93";"0.00";"http://hairstylefoto.com/black-hair-blue-eyes-guy/";"0.00";"0.00";"0.00";"6990000";"0.40,0.40,0.40,0.60,0.40,0.20,0.60,0.40,0.60,1.00,0.80,0.40";"1483150972"
"cute hair styles for prom";"44";"31";"110";"82.83";"0.00";"http://hairstylefoto.com/cute-hairstyles-for-long-hair-for-prom/";"0.00";"0.00";"0.04";"33600000";"0.54,1.00,0.67,0.13,0.03,0.08,0.10,0.13,0.10,0.08,0.23,0.36";"1482887274"
"half up half down african american hairstyles";"53";"0";"90";"80.87";"0.00";"http://hairstylefoto.com/black-half-up-half-down-hairstyles/";"0.00";"0.00";"0.09";"2580000";"0.44,0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78";"1481924434"
"celebrity short bob";"41";"53";"20";"85.98";"0.00";"http://hairstylefoto.com/short-bob-celebrity-hairstyles/";"0.00";"0.00";"0.00";"21200000";"1.00,0.33,0.33,0.33,0.67,0.67,0.33,0.67,0.67,0.67,0.67,0.67";"1484432211"
"curlers short hair";"74";"0";"70";"80.05";"1.55";"http://hairstylefoto.com/curlers-for-short-hair/";"0.00";"0.00";"1.00";"697000";"0.33,1.00,1.00,0.44,1.00,0.11,0.22,0.78,0.22,0.44,0.44,1.00";"1481987869"
"shaved haircut for women";"74";"56";"20";"88.61";"0.00";"http://hairstylefoto.com/short-shaved-haircuts/";"0.00";"0.00";"0.04";"882000";"0.33,0.33,0.67,1.00,0.67,0.67,0.33,0.33,0.67,0.67,0.33,0.67";"1484431141"
"emo long hairstyles for girls";"68";"0";"10";"80.77";"0.00";"http://hairstylefoto.com/long-emo-hairstyles-for-girls/";"0.00";"0.00";"0.00";"6160000";"0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50";"1485103444"
"curly ombre hair";"48";"0";"1300";"87.31";"0.24";"http://hairstylefoto.com/long-curly-ombre-hair/";"0.00";"0.00";"0.10";"3530000";"0.81,0.81,0.81,0.81,1.00,1.00,0.62,0.62,0.62,0.62,0.81,0.62";"1485147983"
"side and back view of bob haircuts";"33";"0";"70";"77.54";"0.00";"http://hairstylefoto.com/side-view-of-short-bob-hairstyles/";"0.00";"0.00";"0.14";"13700000";"0.56,0.11,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.11";"1482031608"
"wedding guest hair";"62";"65";"480";"87.73";"0.00";"http://hairstylefoto.com/wedding-guest-hairstyles-for-short-hair/";"0.00";"0.00";"0.14";"6320000";"0.30,0.67,1.00,0.82,0.67,0.82,1.00,0.67,0.24,0.16,0.19,0.30";"1484374969"
"fringe with bob";"38";"0";"70";"84.29";"0.00";"http://hairstylefoto.com/short-bob-with-fringe/";"0.00";"0.00";"0.05";"13500000";"0.33,1.00,0.44,0.11,0.44,0.11,0.78,0.11,0.22,0.44,0.44,0.44";"1482094670"
"short hairstyles with pin curls";"54";"42";"30";"79.10";"0.00";"http://hairstylefoto.com/pin-curls-for-short-hair/";"0.00";"0.00";"0.02";"3180000";"0.75,0.75,1.00,0.50,1.00,0.75,0.75,0.75,0.50,0.75,0.75,0.50";"1483164834"
"over 60 hairstyles photos";"23";"0";"70";"84.47";"0.00";"http://hairstylefoto.com/over-60-short-hairstyles-pictures/";"0.00";"0.00";"0.29";"59400000";"0.11,0.11,1.00,0.11,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.44";"1482051361"
"hairstyles for women with small faces";"72";"0";"50";"86.11";"0.00";"http://hairstylefoto.com/short-hairstyles-for-small-faces/";"0.00";"0.00";"0.18";"564000";"0.44,0.11,0.56,0.22,0.56,0.22,1.00,1.00,0.33,0.56,0.56,0.56";"1482349494"
"curly long hair for prom";"44";"0";"50";"92.86";"0.00";"http://hairstylefoto.com/prom-hairstyles-for-curly-long-hair/";"0.00";"0.00";"0.43";"21300000";"0.44,0.22,1.00,0.33,1.00,0.11,0.56,0.11,0.56,0.33,0.33,0.22";"1482368117"
"medium length haircuts brunette";"55";"0";"20";"83.50";"0.00";"http://hairstylefoto.com/hairstyles-for-long-brunette-hair/";"0.00";"0.00";"0.00";"3330000";"0.33,0.67,0.33,1.00,0.67,0.67,0.67,0.67,0.33,0.67,0.33,0.67";"1484504643"
"boys haircuts images";"40";"0";"50";"79.85";"0.00";"http://hairstylefoto.com/images-of-boys-haircuts/";"0.00";"0.00";"0.01";"4650000";"0.71,0.71,0.71,0.71,0.71,1.00,0.71,1.00,0.71,0.71,0.71,0.71";"1482989913"
"best hair cuts for long faces";"73";"73";"40";"85.07";"2.21";"http://hairstylefoto.com/best-haircuts-for-long-faces/";"0.00";"0.00";"0.16";"1050000";"0.80,0.60,0.40,0.60,1.00,1.00,0.80,0.80,0.80,0.80,0.60,0.60";"1483049992"
"faux hawk boys";"24";"15";"50";"72.96";"0.00";"http://hairstylefoto.com/little-boy-faux-hawk-haircut/";"0.00";"0.00";"0.00";"976000";"0.56,0.44,0.44,0.78,0.56,1.00,0.78,0.56,0.56,0.44,0.56,1.00";"1482964122"
"images of weave hairstyles";"45";"55";"50";"84.10";"0.00";"http://hairstylefoto.com/images-of-long-weave-hairstyles/";"0.00";"0.00";"0.11";"12700000";"1.00,0.71,0.71,0.57,1.00,0.71,1.00,0.43,0.71,0.71,0.43,0.43";"1482992630"
"hairstyle for short hair for wedding party";"34";"0";"50";"86.11";"0.00";"http://hairstylefoto.com/wedding-party-hairstyles-for-short-hair/";"0.00";"0.00";"0.14";"1420000";"0.78,1.00,1.00,0.33,1.00,0.11,0.22,0.11,0.56,1.00,1.00,0.44";"1482347292"
"medium layered bob hairstyles";"29";"74";"90";"81.67";"0.00";"http://hairstylefoto.com/short-to-medium-layered-bob-hairstyles/";"0.00";"0.00";"0.09";"5220000";"0.79,1.00,0.79,0.79,0.64,0.36,0.50,0.79,0.50,0.50,0.50,0.36";"1482888185"
"cute little boy haircuts 2014";"43";"0";"50";"74.67";"0.00";"http://hairstylefoto.com/boys-haircuts-2014/";"0.00";"0.00";"0.04";"3040000";"0.78,0.44,0.44,1.00,0.44,0.11,0.22,0.56,0.22,1.00,1.00,0.44";"1482372879"
"twist short hair";"58";"96";"90";"86.69";"0.00";"http://hairstylefoto.com/twist-hairstyles-for-short-hair/";"0.00";"0.00";"0.05";"2370000";"0.64,0.64,1.00,0.82,0.64,0.82,0.64,0.82,0.82,0.64,0.82,0.45";"1482910176"
"facial hair styles black men";"72";"0";"20";"72.08";"3.85";"http://hairstylefoto.com/facial-hair-styles-for-black-men/";"0.00";"0.00";"0.18";"2730000";"0.67,0.67,0.33,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67";"1484837378"
"names for short haircuts";"30";"0";"10";"81.70";"0.00";"http://hairstylefoto.com/short-haircut-names-and-pictures/";"0.00";"0.00";"0.07";"2340000";"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00";"1482454966"
"black hairstyles updo";"26";"29";"390";"77.37";"0.34";"http://hairstylefoto.com/natural-black-updo-hairstyles/";"0.00";"0.00";"0.25";"27100000";"0.54,0.44,0.54,0.81,0.81,1.00,1.00,0.81,0.36,0.24,0.24,0.36";"1484376938"
"shoulder length hairstyles for black hair";"51";"48";"210";"85.81";"1.71";"http://hairstylefoto.com/black-hair-medium-length-hairstyles/";"0.00";"0.00";"0.07";"12700000";"0.19,0.82,0.44,0.19,0.44,1.00,0.30,0.67,0.02,1.00,1.00,0.16";"1485196384"
"how to do formal hairstyles";"75";"82";"20";"89.61";"0.00";"http://hairstylefoto.com/how-to-do-formal-hairstyles-for-long-hair/";"0.00";"0.00";"0.06";"8230000";"1.00,0.50,1.00,1.00,0.50,0.50,0.50,0.50,1.00,1.00,1.00,0.50";"1484531225"
"step with layered haircut photos";"46";"62";"10";"87.36";"0.00";"http://hairstylefoto.com/picture-of-long-layered-haircut/";"0.00";"0.00";"0.00";"2150000";"1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00";"1484710026"
"old hollywood hairstyles long hair";"22";"0";"50";"82.75";"0.00";"http://hairstylefoto.com/old-hollywood-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"2950000";"0.57,1.00,1.00,0.43,1.00,0.29,0.14,0.71,0.14,0.14,0.43,1.00";"1482235498"
"stackable bob haircut";"16";"17";"10";"73.59";"0.00";"http://hairstylefoto.com/short-stacked-bob-with-bangs/";"0.00";"0.00";"0.24";"120000";"0.50,0.50,1.00,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50";"1482519140"
"easy straight hairstyles";"44";"36";"170";"87.56";"3.02";"http://hairstylefoto.com/cute-easy-hairstyles-for-long-straight-hair/";"0.00";"0.00";"0.10";"27900000";"1.00,1.00,0.81,0.67,0.43,0.81,0.67,1.00,0.81,1.00,1.00,1.00";"1482811189"
"little boys hair cuts";"48";"0";"480";"77.71";"0.00";"http://hairstylefoto.com/little-boys-haircuts/";"0.00";"0.00";"0.03";"5530000";"0.81,0.66,0.66,0.66,0.81,1.00,0.54,0.66,0.66,0.81,0.81,0.81";"1484362479"
"long black hairstyles for men";"29";"0";"50";"78.80";"0.00";"http://hairstylefoto.com/hairstyles-for-men-long/";"0.00";"0.00";"0.11";"3170000";"0.44,0.33,0.33,1.00,0.33,0.22,0.11,0.22,0.56,0.33,0.33,0.78";"1482270511"
"short choppy hairstyles for fine hair";"24";"0";"40";"78.39";"0.91";"http://hairstylefoto.com/short-choppy-hairstyles-for-women/";"0.00";"0.00";"0.27";"1580000";"0.45,0.36,0.45,0.18,0.09,0.18,0.18,0.36,0.18,0.27,0.45,1.00";"1483082402"
"side swept hairstyles for short hair";"40";"25";"50";"84.60";"0.09";"http://hairstylefoto.com/side-swept-hairstyles-for-short-hair/";"0.00";"0.00";"0.05";"1900000";"0.78,1.00,1.00,0.78,0.78,1.00,0.56,0.33,0.33,0.33,0.44,0.33";"1482985546"
"silver highlights black hair";"63";"0";"20";"85.51";"0.00";"http://hairstylefoto.com/black-hair-silver-highlights/";"0.00";"0.00";"0.06";"1900000";"0.60,0.40,0.40,0.20,0.40,0.40,0.40,0.60,0.60,0.40,0.40,1.00";"1485041228"
"blue tinted black hair";"45";"45";"50";"85.65";"0.19";"http://hairstylefoto.com/black-hair-dye-with-blue-tint/";"0.00";"0.00";"0.51";"7810000";"0.57,0.57,0.43,0.71,0.71,0.57,0.71,0.57,0.71,0.71,1.00,0.71";"1483007048"
"men haircuts black";"45";"0";"30";"78.18";"0.00";"http://hairstylefoto.com/names-of-haircuts-for-black-men/";"0.00";"0.00";"0.03";"3630000";"0.40,0.40,0.20,0.40,0.40,0.80,0.40,0.40,0.80,0.60,1.00,0.80";"1484763053"
"men haircuts black";"98";"0";"30";"78.18";"0.00";"http://hairstylefoto.com/different-black-men-haircuts/";"0.00";"0.00";"0.03";"3630000";"0.40,0.40,0.20,0.40,0.40,0.80,0.40,0.40,0.80,0.60,1.00,0.80";"1484763053"
"curly wavy hairstyles";"72";"50";"260";"82.18";"0.26";"http://hairstylefoto.com/curly-wavy-hairstyles-long-hair/";"0.00";"0.00";"0.03";"1140000";"0.67,0.54,0.54,0.54,0.82,0.67,0.44,0.44,0.82,1.00,1.00,0.82";"1482796368"
"haircuts for women with long thick hair";"47";"0";"90";"85.37";"0.00";"http://hairstylefoto.com/haircuts-for-long-thick-hair/";"0.00";"0.00";"0.26";"2050000";"0.57,0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43";"1481924454"
"womens short funky hairstyles";"40";"30";"10";"82.30";"6.59";"http://hairstylefoto.com/short-funky-hairstyles-for-women/";"0.00";"0.00";"0.20";"2100000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1485124858"
"spiral haircut";"64";"53";"90";"85.99";"0.00";"http://hairstylefoto.com/spiral-hairstyles-for-short-hair/";"0.00";"0.00";"0.05";"619000";"0.44,0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44";"1485295241"
"lesbians haircuts";"36";"32";"20";"82.54";"0.00";"http://hairstylefoto.com/short-hairstyles-for-lesbians/";"0.00";"0.00";"0.24";"515000";"1.00,0.33,0.67,1.00,0.67,0.67,0.67,0.33,0.33,0.67,0.67,0.67";"1484505111"
"black girl auburn hair";"86";"0";"90";"85.91";"0.00";"http://hairstylefoto.com/auburn-hair-color-on-black-skin/";"0.00";"0.00";"0.01";"2510000";"0.22,0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22";"1481957071"
"natural updos for medium length hair";"41";"36";"70";"75.81";"0.00";"http://hairstylefoto.com/black-natural-hairstyles-for-medium-length-hair/";"0.00";"0.00";"0.09";"5550000";"0.15,1.00,0.27,0.19,0.27,0.27,0.19,0.15,0.27,0.19,0.27,0.19";"1482920796"
"asymmetrical long bob haircut";"54";"0";"10";"82.17";"0.00";"http://hairstylefoto.com/long-asymmetrical-bob/";"0.00";"0.00";"0.00";"4080000";"0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,0.50,1.00,1.00,0.50";"1482509587"
"hairstyles for long hair with side swept bangs";"66";"72";"10";"86.85";"0.00";"http://hairstylefoto.com/side-swept-bangs-long-hair/";"0.00";"0.00";"0.06";"1950000";"1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50";"1484619257"
"permed medium hairstyles";"70";"55";"70";"79.40";"0.14";"http://hairstylefoto.com/permed-long-hairstyles/";"0.00";"0.00";"0.20";"1030000";"1.00,1.00,0.64,0.64,1.00,0.82,0.82,0.36,0.27,0.27,0.64,0.36";"1482914165"
"simple hairstyle for indian wedding";"44";"0";"10";"74.87";"0.00";"http://hairstylefoto.com/simple-hairstyle-for-indian-wedding/";"0.00";"0.00";"0.00";"3010000";"0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1482760712"
"medium length natural hair styles";"62";"0";"90";"77.69";"0.00";"http://hairstylefoto.com/black-natural-hairstyles-for-medium-length-hair/";"0.00";"0.00";"0.08";"3910000";"0.45,0.64,0.64,0.82,0.64,0.82,0.82,0.82,1.00,0.82,1.00,0.64";"1482894342"
"60s hair cut";"89";"0";"20";"85.24";"0.00";"http://hairstylefoto.com/60s-hairstyles-long-hair/";"0.00";"0.00";"0.00";"671000";"0.67,1.00,0.67,0.33,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67";"1484448313"
"modern layered bob";"86";"0";"10";"76.82";"0.00";"http://hairstylefoto.com/short-layered-bob-hairstyles-for-thick-hair/";"0.00";"0.00";"0.01";"752000";"0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,1.00";"1485130446"
"hairstyles for dreadlocks long";"51";"66";"20";"83.84";"0.00";"http://hairstylefoto.com/hairstyles-for-dreadlocks-long/";"0.00";"0.00";"0.15";"9390000";"0.67,1.00,0.33,0.33,0.33,1.00,0.33,0.33,0.33,1.00,1.00,0.67";"1484460366"
"black and blonde hair ombre";"29";"0";"70";"87.94";"1.09";"http://hairstylefoto.com/ombre-hair-black-and-blonde/";"0.00";"0.00";"0.26";"2390000";"0.71,0.29,0.57,0.14,0.57,0.14,0.29,0.43,1.00,0.57,0.57,0.71";"1481991402"
"blonde long bobs";"23";"0";"40";"82.43";"0.00";"http://hairstylefoto.com/blonde-long-bob/";"0.00";"0.00";"0.08";"51700000";"0.80,0.80,0.60,1.00,0.80,0.80,0.60,0.60,1.00,1.00,1.00,1.00";"1483084914"
"bangs layered haircut";"44";"0";"40";"87.57";"0.00";"http://hairstylefoto.com/long-layered-haircut-with-bangs/";"0.00";"0.00";"0.00";"3910000";"0.40,0.80,1.00,0.40,0.80,0.40,1.00,1.00,0.80,0.80,0.80,0.40";"1483061997"
"feathered long hairstyles";"20";"26";"30";"75.18";"0.00";"http://hairstylefoto.com/long-feathered-layered-hairstyles/";"0.00";"0.00";"0.10";"8060000";"0.57,1.00,0.29,0.43,0.57,0.43,0.29,0.57,0.14,0.14,0.14,0.14";"1483160086"
"cute summer hair cuts";"66";"0";"50";"84.92";"0.00";"http://hairstylefoto.com/cute-summer-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"19200000";"0.01,0.08,0.01,0.02,0.06,0.02,0.10,0.24,1.00,0.06,0.06,0.01";"1482367961"
"black hair fishtail braid";"47";"36";"40";"72.98";"0.00";"http://hairstylefoto.com/black-hair-fishtail-braid-hairstyles/";"0.00";"0.00";"0.03";"6010000";"0.20,0.60,0.80,1.00,0.80,1.00,0.40,1.00,0.80,0.60,0.60,0.20";"1483079752"
"lil black kid";"55";"87";"40";"88.79";"0.00";"http://hairstylefoto.com/little-black-kid/";"0.00";"0.00";"0.00";"157000000";"1.00,0.71,0.57,0.57,0.43,0.57,0.71,0.43,0.43,0.57,0.57,0.29";"1483087496"
"wedding updos for short length hair";"45";"0";"10";"82.71";"0.00";"http://hairstylefoto.com/wedding-updo-hairstyles-for-short-hair/";"0.00";"0.00";"0.04";"1900000";"0.33,0.33,0.67,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33";"1484643249"
"easy everyday updos for long hair";"52";"0";"30";"82.63";"0.00";"http://hairstylefoto.com/everyday-updos-for-long-hair/";"0.00";"0.00";"0.19";"2410000";"0.75,0.75,0.50,0.50,1.00,0.50,0.50,0.75,0.50,0.50,0.50,0.75";"1484756397"
"vintage black hairstyles";"20";"20";"50";"82.76";"0.00";"http://hairstylefoto.com/vintage-black-hairstyles/";"0.00";"0.00";"0.05";"4110000";"0.56,1.00,0.44,0.78,0.44,0.56,0.78,0.56,0.56,0.56,0.56,0.56";"1483012853"
"children braids hairstyles";"90";"0";"10";"85.05";"0.00";"http://hairstylefoto.com/black-children-hairstyles-braids/";"0.00";"0.00";"0.10";"2040000";"0.50,1.00,0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50";"1482705714"
"1930 hair";"61";"75";"140";"72.66";"0.00";"http://hairstylefoto.com/1930s-hairstyles-for-long-hair/";"0.00";"0.00";"0.02";"20200000";"1.00,0.67,0.67,0.33,0.52,0.52,0.52,0.81,0.67,0.52,0.52,0.67";"1482859012"
"best bob hairstyles for long faces";"73";"0";"90";"85.04";"0.00";"http://hairstylefoto.com/best-bobs-for-long-faces/";"0.00";"0.00";"0.14";"1600000";"0.22,0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22";"1481958161"
"bob hair with side swept bangs";"61";"0";"50";"84.66";"0.00";"http://hairstylefoto.com/short-bob-hairstyles-with-side-swept-bangs/";"0.00";"0.00";"0.10";"5040000";"0.44,1.00,0.56,0.11,0.56,0.11,1.00,0.78,0.33,0.56,0.56,0.44";"1482381644"
"korean boys hairstyle 2013";"14";"0";"10";"78.30";"0.00";"http://hairstylefoto.com/korean-boys-hairstyle-2013/";"0.00";"0.00";"0.00";"2780000";"0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00";"1482705371"
"black guy hair styles";"33";"0";"90";"74.57";"0.00";"http://hairstylefoto.com/black-guy-hairstyle/";"0.00";"0.00";"0.09";"81000000";"0.82,0.82,0.82,0.82,0.82,0.82,0.64,0.64,0.82,0.82,1.00,0.82";"1482901386"
"easy medieval hairstyles";"34";"45";"30";"75.89";"0.00";"http://hairstylefoto.com/medieval-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"852000";"0.43,0.43,0.57,0.29,0.43,0.29,0.43,1.00,0.43,0.43,0.43,0.57";"1483104202"
"styling asymmetrical bob";"48";"68";"30";"84.60";"0.00";"http://hairstylefoto.com/long-asymmetrical-bob/";"0.00";"0.00";"0.01";"1770000";"0.75,0.25,0.25,0.25,0.75,1.00,0.75,0.75,0.75,0.75,0.75,0.75";"1483111632"
"short hair for 2014";"94";"0";"10";"83.41";"0.00";"http://hairstylefoto.com/popular-short-hairstyles-for-2014/";"0.00";"0.00";"0.00";"195000000";"1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00";"1482714967"
"layered haircuts for thick hair pictures";"45";"57";"10";"81.30";"0.11";"http://hairstylefoto.com/short-layered-haircuts-thick-hair/";"0.00";"0.00";"0.27";"2880000";"0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,1.00,0.33";"1482469194"
"beautiful black braided hairstyles";"71";"0";"10";"81.37";"0.00";"http://hairstylefoto.com/black-braided-hairstyles-for-long-hair/";"0.00";"0.00";"0.16";"4970000";"0.33,1.00,0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.67,0.33";"1482752846"
"long hairstyles 2014 round faces";"37";"58";"10";"87.79";"0.00";"http://hairstylefoto.com/long-hairstyles-for-round-faces-2014/";"0.00";"0.00";"0.00";"12200000";"0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00";"1484705452"
"very short natural hair styles";"85";"0";"90";"80.69";"3.08";"http://hairstylefoto.com/short-hairstyles-for-black-natural-hair/";"0.00";"0.00";"0.25";"3860000";"0.44,0.78,0.11,0.56,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78";"1485223938"
"beach wedding updos";"79";"72";"90";"82.70";"0.00";"http://hairstylefoto.com/hairstyles-for-beach-wedding/";"0.00";"0.00";"0.05";"511000";"0.64,0.82,1.00,1.00,1.00,0.82,0.82,0.45,0.64,0.36,0.64,0.64";"1482891933"
"pin up girl hair tutorial";"82";"86";"70";"88.26";"0.17";"http://hairstylefoto.com/pin-up-hairstyles-for-short-hair-tutorial/";"0.00";"0.00";"0.02";"6260000";"0.19,0.67,0.52,0.24,0.14,0.19,0.33,1.00,0.14,0.19,0.19,0.33";"1482936653"
"short layered hair with side swept bangs";"50";"0";"20";"81.84";"0.00";"http://hairstylefoto.com/layered-hairstyles-for-long-hair-with-side-swept-bangs/";"0.00";"0.00";"0.05";"14800000";"0.25,0.50,1.00,0.75,0.50,0.75,0.50,0.25,0.50,0.25,0.50,0.25";"1485102988"
"short hairstyle sew in";"21";"0";"50";"80.83";"0.00";"http://hairstylefoto.com/short-hairstyles-for-weaves-sew-in/";"0.00";"0.00";"0.14";"1820000";"0.44,0.44,0.56,0.56,0.56,0.33,0.56,0.33,0.56,0.56,0.56,1.00";"1483032603"
"short hairstyles for men with fine straight hair";"30";"40";"10";"72.81";"0.00";"http://hairstylefoto.com/short-hairstyles-for-men-with-fine-straight-hair/";"0.00";"0.00";"0.00";"3460000";"1.00,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50";"1484572003"
"2013 bob hairstyles";"47";"0";"10";"82.22";"0.00";"http://hairstylefoto.com/long-layered-bob-hairstyles-2013/";"0.00";"0.00";"0.27";"14900000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1482487324"
"natural braided hairstyle";"85";"0";"20";"82.58";"0.00";"http://hairstylefoto.com/natural-black-braided-hairstyles/";"0.00";"0.00";"0.02";"1240000";"0.14,0.14,0.29,0.29,0.29,0.14,0.14,0.14,0.57,1.00,0.71,0.14";"1485077405"
"long back hair cut";"37";"0";"50";"84.22";"0.00";"http://hairstylefoto.com/long-in-the-front-short-in-the-back-haircut/";"0.00";"0.00";"0.00";"61800000";"0.78,0.56,0.56,0.11,0.56,0.11,1.00,0.78,0.33,0.56,0.56,0.22";"1482278137"
"haircut styles for long hair round face";"37";"0";"40";"86.94";"0.00";"http://hairstylefoto.com/hairstyles-for-long-curly-hair-round-face/";"0.00";"0.00";"0.04";"5360000";"0.80,0.40,0.80,0.60,0.80,1.00,1.00,1.00,1.00,0.80,1.00,1.00";"1483082126"
"short layered hairstyles for curly hair";"21";"25";"20";"82.24";"0.00";"http://hairstylefoto.com/short-layered-hairstyles-for-curly-hair/";"0.00";"0.00";"0.15";"1880000";"0.75,0.25,0.50,0.50,0.50,0.25,1.00,0.50,0.25,0.50,0.50,0.50";"1484414768"
