Keyword;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic Cost (%);Competition;Number of Results;Trends
"frizzy hair styles";"70";"89.23";"0.00";"http://hairstylefoto.com/long-hairstyles-for-frizzy-hair/";"0.00";"0.08";"671000";"0.56,0.78,0.78,0.78,1.00,0.78,1.00,0.78,0.56,0.78,0.56,0.78"
"boys best hairstyle";"10";"84.64";"0.00";"http://hairstylefoto.com/best-hairstyle-of-boys/";"0.00";"0.00";"5750000";"0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
"short haircuts for ladies over 50";"90";"85.90";"0.00";"http://hairstylefoto.com/short-haircuts-for-women-over-50-with-round-faces/";"0.00";"0.24";"1480000";"0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.64,0.64,1.00,0.82"
"beyonce short hair style";"20";"81.63";"0.00";"http://hairstylefoto.com/beyonce-long-hairstyles/";"0.00";"0.00";"7890000";"0.50,0.50,1.00,1.00,1.00,0.50,1.00,1.00,0.50,1.00,1.00,1.00"
"black hairstyles and color";"20";"83.78";"2.05";"http://hairstylefoto.com/black-color-hairstyles/";"0.00";"0.24";"2890000";"0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.67,0.67,0.67,0.33"
"short cute haircuts for black women";"40";"78.55";"1.79";"http://hairstylefoto.com/short-cute-hairstyles-for-black-women/";"0.00";"0.12";"2600000";"0.56,1.00,0.44,0.11,0.44,0.33,0.78,0.78,0.22,0.44,0.44,0.44"
"really long curly hair";"70";"83.33";"0.00";"http://hairstylefoto.com/really-long-curly-hair/";"0.00";"0.00";"3900000";"0.78,0.78,0.78,0.78,1.00,0.78,1.00,0.56,0.78,0.78,1.00,1.00"
"short layered haircuts black women";"30";"82.07";"0.00";"http://hairstylefoto.com/short-layered-haircuts-for-black-hair/";"0.00";"0.06";"43700000";"0.60,0.40,0.60,0.40,0.80,1.00,0.60,0.60,0.80,0.80,0.80,0.60"
"best long hair for round face";"10";"85.52";"0.00";"http://hairstylefoto.com/best-long-hairstyles-for-round-faces/";"0.00";"0.00";"3770000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
"naturally curly hair cuts";"70";"80.90";"0.00";"http://hairstylefoto.com/short-naturally-curly-haircuts/";"0.00";"0.04";"1140000";"0.78,0.56,1.00,1.00,0.78,0.78,1.00,0.56,0.78,1.00,1.00,0.78"
"mullet hairstyles for women";"10";"86.40";"0.00";"http://hairstylefoto.com/short-mullet-haircut/";"0.00";"0.10";"875000";"1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.67,0.67"
"ponytail hairstyles for straight hair";"90";"85.38";"0.00";"http://hairstylefoto.com/long-straight-ponytail-hairstyles/";"0.00";"0.00";"1410000";"0.57,0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43"
"black hair updo styles";"210";"80.97";"0.00";"http://hairstylefoto.com/updo-black-hair-styles/";"0.00";"0.24";"4350000";"0.12,0.10,0.07,0.44,1.00,0.12,0.07,0.07,0.44,0.67,0.36,0.06"
"short haircuts for kids with thick hair";"20";"79.88";"0.00";"http://hairstylefoto.com/short-hair-cuts-for-thick-hair/";"0.00";"0.14";"3510000";"0.67,1.00,1.00,1.00,0.67,1.00,0.33,0.33,0.33,0.33,0.33,0.33"
"haircuts for young black men";"50";"76.28";"3.14";"http://hairstylefoto.com/young-black-male-haircuts/";"0.00";"0.16";"8410000";"0.29,0.57,0.71,0.71,1.00,1.00,0.43,0.57,0.71,0.71,0.71,0.57"
"sassy hairstyles for long hair";"30";"82.64";"0.00";"http://hairstylefoto.com/sassy-long-hairstyles/";"0.00";"0.24";"16600000";"0.40,0.60,0.60,0.80,0.60,0.40,0.40,0.60,0.80,0.40,0.80,1.00"
"pictures of short african american hairstyles";"20";"83.12";"0.00";"http://hairstylefoto.com/pictures-of-short-hairstyles-for-african-american-hair/";"0.00";"0.16";"1010000";"1.00,0.40,0.60,0.20,0.20,0.40,0.40,0.20,0.40,1.00,0.20,0.20"
"mens hairstyles pinterest 2014";"70";"99.68";"0.00";"http://hairstylefoto.com/pinterest-short-black-hairstyles-2014/";"0.00";"0.00";"8630000";"0.33,0.11,0.78,0.22,0.78,1.00,0.11,0.11,0.11,0.11,0.11,0.11"
"twists in black hair";"90";"83.46";"0.00";"http://hairstylefoto.com/twists-for-black-hair/";"0.00";"0.69";"4530000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78"
"hair styles women over 60";"110";"78.27";"0.06";"http://hairstylefoto.com/short-hair-styles-for-women-over-60/";"0.00";"0.33";"5910000";"1.00,0.79,0.64,0.50,0.79,0.79,1.00,0.64,0.79,0.79,1.00,1.00"
"older mens short hairstyles 2013";"10";"80.71";"0.00";"http://hairstylefoto.com/older-men-with-long-hair/";"0.00";"0.00";"10500000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00"
"gradual bob";"50";"79.12";"0.00";"http://hairstylefoto.com/graduated-long-bob/";"0.00";"0.13";"674000";"0.78,0.33,0.56,0.22,0.56,0.22,0.33,0.44,1.00,0.56,0.56,0.78"
"short side swept hairstyles";"50";"81.17";"0.14";"http://hairstylefoto.com/side-swept-hairstyles-for-short-hair/";"0.00";"0.03";"2790000";"0.33,0.44,0.44,1.00,0.78,1.00,0.78,1.00,0.44,0.44,0.44,0.78"
"bump hairstyles";"720";"81.26";"0.20";"http://hairstylefoto.com/bump-hairstyles-for-long-hair/";"0.00";"0.13";"570000";"0.88,0.88,1.00,0.88,0.88,0.88,0.88,1.00,0.72,0.48,0.48,0.48"
"crazy haircuts for women";"40";"86.56";"0.00";"http://hairstylefoto.com/crazy-boy-hairstyles/";"0.00";"0.00";"35000000";"1.00,0.40,0.60,0.60,0.80,1.00,0.60,0.60,0.60,0.40,0.60,0.80"
"wedge cut hair";"50";"84.99";"0.00";"http://hairstylefoto.com/short-wedge-haircut/";"0.00";"0.25";"12900000";"0.27,0.45,1.00,1.00,0.36,0.09,0.18,0.09,0.36,0.82,0.36,0.18"
"old lady hair cuts";"50";"81.73";"0.00";"http://hairstylefoto.com/old-lady-hairstyles-for-long-hair/";"0.00";"0.03";"9010000";"0.57,0.43,0.71,0.71,0.71,0.57,0.71,0.57,0.71,0.71,1.00,0.71"
"shag hairstyle pictures";"70";"84.91";"0.00";"http://hairstylefoto.com/short-shag-haircut-pictures/";"0.00";"0.10";"1230000";"0.71,0.29,0.57,0.14,0.57,0.14,0.29,0.43,1.00,0.57,0.57,0.71"
"two strand twist styles for short hair";"40";"78.60";"0.00";"http://hairstylefoto.com/two-strand-twist-styles-for-short-natural-hair/";"0.00";"0.09";"7370000";"1.00,0.56,0.56,0.56,0.78,0.44,0.56,0.11,0.33,0.33,0.33,0.22"
"emo layered haircuts for long hair";"90";"82.56";"0.00";"http://hairstylefoto.com/emo-hairstyles-for-girls-with-long-hair/";"0.00";"0.00";"593000";"0.44,0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.11"
"fast hairstyles for long thick hair";"70";"88.90";"0.00";"http://hairstylefoto.com/quick-and-easy-hairstyles-for-long-thick-hair/";"0.00";"0.04";"26000000";"0.33,0.78,1.00,0.33,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.78"
"medium hairstyles for women over 40";"720";"82.87";"1.63";"http://hairstylefoto.com/hairstyles-for-long-hair-over-40/";"0.00";"0.12";"11100000";"0.59,1.00,0.88,0.48,0.72,0.72,0.48,0.59,0.59,0.72,0.72,0.59"
"black hair medium length hairstyles";"70";"81.01";"0.44";"http://hairstylefoto.com/black-hair-medium-length-hairstyles/";"0.00";"0.07";"24800000";"0.29,0.50,0.50,0.29,0.50,1.00,1.00,0.79,0.36,0.29,0.36,0.79"
"bob and fringe hairstyles";"10";"87.71";"0.00";"http://hairstylefoto.com/short-bob-with-fringe-hairstyles/";"0.00";"0.12";"1040000";"0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00"
"black hair red streaks";"90";"82.40";"0.00";"http://hairstylefoto.com/black-hair-red-streaks/";"0.00";"0.06";"4520000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.78,0.78,0.78,0.78"
"oval face hairstyles men";"50";"79.33";"0.00";"http://hairstylefoto.com/short-hairstyles-for-oval-faces-men/";"0.00";"0.00";"2040000";"0.57,0.71,0.71,0.71,1.00,1.00,0.71,0.71,1.00,0.57,0.71,1.00"
"oval face hairstyles men";"50";"79.33";"0.00";"http://hairstylefoto.com/short-hairstyles-for-men-with-oval-faces/";"0.00";"0.00";"2040000";"0.57,0.71,0.71,0.71,1.00,1.00,0.71,0.71,1.00,0.57,0.71,1.00"
"really thick hair styles";"70";"84.29";"1.66";"http://hairstylefoto.com/short-hairstyles-for-really-thick-hair/";"0.00";"0.10";"8070000";"0.33,0.56,0.56,0.22,0.56,0.11,1.00,0.44,1.00,0.22,0.22,0.56"
"african american short wigs styles";"40";"78.97";"0.66";"http://hairstylefoto.com/short-wigs-for-african-american/";"0.00";"1.00";"806000";"0.33,0.78,0.33,0.22,0.56,0.22,0.44,0.78,1.00,0.33,0.33,0.22"
"boy cut weave";"90";"71.87";"0.00";"http://hairstylefoto.com/short-cut-hairstyles-with-weave/";"0.00";"0.03";"809000";"0.22,0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11"
"long curly bob haircut";"20";"81.88";"0.00";"http://hairstylefoto.com/long-curly-bob/";"0.00";"0.21";"15300000";"0.33,1.00,0.33,0.67,0.33,0.33,0.67,1.00,0.33,0.33,0.67,0.67"
"long medium haircut styles";"20";"84.55";"0.00";"http://hairstylefoto.com/medium-long-haircut-styles/";"0.00";"0.06";"15400000";"0.33,0.67,0.67,0.67,0.67,0.33,0.33,0.67,1.00,0.33,1.00,0.67"
"receded hairline styles";"10";"73.09";"0.00";"http://hairstylefoto.com/short-hairstyles-for-men-with-receding-hairline/";"0.00";"0.04";"510000";"0.25,0.50,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25"
"inverted bob curly";"260";"79.32";"0.10";"http://hairstylefoto.com/short-curly-inverted-bob-hairstyles/";"0.00";"0.02";"1760000";"0.19,0.23,0.23,0.35,0.44,0.54,1.00,1.00,0.81,1.00,0.81,0.44"
"long hair blunt cut";"110";"88.90";"0.00";"http://hairstylefoto.com/blunt-cut-hairstyles-for-long-hair/";"0.00";"0.01";"688000";"0.53,0.53,0.65,0.53,0.65,0.82,0.53,0.65,0.65,0.65,0.82,1.00"
"micro braids hairstyles 2013";"40";"70.07";"0.00";"http://hairstylefoto.com/black-micro-braids-hairstyles/";"0.00";"0.25";"2190000";"1.00,0.57,0.71,0.57,0.71,0.57,0.43,0.71,0.43,0.57,0.29,0.14"
"hottest 13 year old boys";"30";"89.69";"0.00";"http://hairstylefoto.com/cute-12-year-old-boys/";"0.00";"0.10";"43000000";"0.40,0.40,0.40,0.60,1.00,0.80,0.40,0.20,0.40,0.80,0.40,1.00"
"back views of short hair";"10";"77.29";"2.07";"http://hairstylefoto.com/short-haircuts-front-and-back-view/";"0.00";"0.30";"6260000";"0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.00,0.50,1.00,0.50"
"hair designs for girls";"1300";"97.12";"0.00";"http://hairstylefoto.com/braid-designs-for-girls/";"0.00";"0.05";"13200000";"0.46,0.53,1.00,1.00,1.00,0.68,0.53,0.53,0.53,0.68,0.68,0.68"
"12 year old boy with brown hair";"20";"87.52";"0.00";"http://hairstylefoto.com/12-year-old-boy-hairstyles/";"0.00";"0.00";"158000000";"0.75,0.75,1.00,0.50,0.50,0.50,0.50,0.75,0.25,0.75,0.25,0.75"
"short hair cut black";"20";"80.30";"0.00";"http://hairstylefoto.com/short-haircut-for-black-women/";"0.00";"0.03";"10900000";"0.50,0.50,0.75,0.50,0.50,0.50,0.25,0.50,0.50,1.00,0.75,0.50"
"best short haircuts for grey hair";"20";"83.86";"0.00";"http://hairstylefoto.com/short-hairstyles-for-grey-hair/";"0.00";"0.19";"14900000";"0.67,1.00,0.67,0.33,0.67,0.33,0.67,0.67,0.67,1.00,0.67,0.33"
"young ladies hairstyles";"20";"86.95";"0.00";"http://hairstylefoto.com/long-hairstyles-for-young-girls/";"0.00";"0.03";"23100000";"1.00,1.00,0.50,1.00,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50"
"long hairstyles for tomboys";"70";"79.16";"0.00";"http://hairstylefoto.com/hairstyles-for-tomboys/";"0.00";"0.03";"12400000";"0.43,0.29,1.00,0.43,1.00,0.14,0.57,0.14,0.57,0.29,0.29,0.29"
"good hairstyles for weddings";"20";"88.76";"0.00";"http://hairstylefoto.com/good-hairstyles-for-weddings/";"0.00";"0.02";"5910000";"0.50,0.25,0.50,0.75,0.75,1.00,0.50,0.25,0.25,0.25,0.25,0.25"
"burgundy hairstyles with highlights";"70";"78.58";"2.02";"http://hairstylefoto.com/black-hair-with-burgundy-highlights/";"0.00";"0.16";"1230000";"0.45,0.27,0.64,0.36,0.45,0.45,0.45,0.82,0.64,0.82,0.82,1.00"
"mature haircuts";"110";"81.50";"0.10";"http://hairstylefoto.com/pictures-of-short-hairstyles-for-the-mature-woman/";"0.00";"0.22";"13500000";"0.43,0.33,0.33,0.52,0.52,0.33,0.33,0.33,0.52,0.67,0.67,1.00"
"cool short curly hairstyles";"20";"83.64";"0.00";"http://hairstylefoto.com/cool-hairstyles-for-short-curly-hair/";"0.00";"0.05";"2540000";"0.40,0.40,0.60,0.40,1.00,0.60,0.60,0.20,0.40,0.20,0.20,0.40"
"bob hairstyles with layers pictures";"50";"84.73";"0.00";"http://hairstylefoto.com/images-of-long-layered-bob-hairstyles/";"0.00";"0.00";"7720000";"0.44,0.78,0.33,1.00,0.33,0.22,0.56,0.56,0.11,0.33,0.33,0.33"
"sew in weave on short hair";"30";"77.62";"0.00";"http://hairstylefoto.com/sew-in-weave-for-short-hair/";"0.00";"0.09";"1570000";"0.60,1.00,0.60,0.80,0.80,0.80,0.60,0.60,0.40,1.00,0.40,0.40"
"homecoming hair ideas for long hair";"20";"81.73";"0.00";"http://hairstylefoto.com/homecoming-hairstyles-long-hair/";"0.00";"0.00";"2050000";"0.09,0.09,0.09,0.00,0.09,0.09,1.00,0.82,0.09,0.09,0.18,0.09"
"hairstyles for 10 year old boys";"50";"71.27";"0.00";"http://hairstylefoto.com/haircuts-for-10-year-old-boys/";"0.00";"0.15";"4700000";"0.44,0.56,0.56,0.56,1.00,1.00,0.33,0.44,0.44,0.44,0.56,0.78"
"parting hair down the middle";"90";"88.20";"0.00";"http://hairstylefoto.com/long-hair-parted-down-the-middle/";"0.00";"0.00";"835000";"0.18,0.18,0.41,0.53,1.00,0.65,0.65,0.53,0.41,0.24,0.41,0.65"
"short hairstyles for women over 60 with fine hair";"140";"82.84";"2.74";"http://hairstylefoto.com/short-hairstyles-for-women-over-60-with-fine-hair/";"0.00";"0.49";"8830000";"0.52,0.81,1.00,0.52,0.67,0.52,0.81,0.43,0.24,0.24,0.43,0.81"
"easy messy hairstyles for long hair";"20";"94.30";"1.48";"http://hairstylefoto.com/easy-messy-hairstyles-for-long-hair/";"0.00";"0.16";"2380000";"1.00,0.75,0.75,0.25,0.25,0.75,0.50,0.50,0.50,0.25,0.50,0.50"
"red long hair styles";"20";"78.81";"0.00";"http://hairstylefoto.com/red-long-hair/";"0.00";"0.02";"54800000";"0.33,0.33,0.67,0.33,0.33,1.00,0.33,0.33,0.33,1.00,0.67,0.33"
"red long hair styles";"20";"78.81";"0.00";"http://hairstylefoto.com/dark-red-long-hairstyles/";"0.00";"0.02";"54800000";"0.33,0.33,0.67,0.33,0.33,1.00,0.33,0.33,0.33,1.00,0.67,0.33"
"short cuts for black hair 2014";"30";"78.90";"0.00";"http://hairstylefoto.com/short-cuts-for-black-hair-2014/";"0.00";"0.67";"4490000";"1.00,0.43,0.43,0.43,0.29,0.29,0.14,0.14,0.29,0.57,0.29,0.14"
"silver hair styles photos";"90";"87.48";"0.00";"http://hairstylefoto.com/short-hairstyles-for-silver-hair/short-hairstyles-for-silver-hair-photo-1/";"0.00";"0.00";"5430000";"0.22,0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.11"
"black bangs hairstyles";"50";"82.31";"0.00";"http://hairstylefoto.com/black-hair-with-bangs-hairstyles/";"0.00";"0.01";"25000000";"0.29,0.43,1.00,0.71,1.00,1.00,1.00,0.71,0.57,0.57,0.43,0.57"
"black bangs hairstyles";"50";"82.31";"0.00";"http://hairstylefoto.com/black-bangs-hairstyles/";"0.00";"0.01";"25000000";"0.29,0.43,1.00,0.71,1.00,1.00,1.00,0.71,0.57,0.57,0.43,0.57"
"mens comb over haircut";"170";"77.47";"0.00";"http://hairstylefoto.com/short-comb-over-hairstyles-for-men/";"0.00";"0.06";"1030000";"0.81,0.66,0.28,0.44,0.66,1.00,0.44,0.53,0.53,0.34,0.34,0.53"
"girl haircut designs";"170";"86.40";"0.00";"http://hairstylefoto.com/boys-haircut-designs/";"0.00";"0.01";"11300000";"0.34,0.34,0.44,0.66,0.66,1.00,0.44,0.34,0.28,0.53,0.81,0.66"
"longer inverted bob pictures";"10";"83.23";"0.00";"http://hairstylefoto.com/long-inverted-bob-haircuts/";"0.00";"0.00";"2320000";"1.00,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20"
"short hairstyles black hair 2014";"40";"81.86";"0.15";"http://hairstylefoto.com/hairs/short-hairstyles/black-short-hairstyles/page/16/";"0.00";"0.13";"12900000";"1.00,0.80,0.60,0.60,0.80,0.60,0.60,0.80,0.60,0.60,0.40,1.00"
"short hairstyles black hair 2014";"40";"81.86";"0.15";"http://hairstylefoto.com/black-female-short-hairstyles-2014/";"0.00";"0.13";"12900000";"1.00,0.80,0.60,0.60,0.80,0.60,0.60,0.80,0.60,0.60,0.40,1.00"
"cute 11 year old boy";"390";"94.36";"0.00";"http://hairstylefoto.com/hairstyles-for-11-year-old-boys/";"0.00";"0.41";"18900000";"0.66,0.66,0.66,0.81,1.00,0.81,0.66,0.66,0.66,0.54,0.44,0.44"
"short hair style for women over 60";"70";"79.16";"1.13";"http://hairstylefoto.com/short-hairstyles-for-older-women-over-60/";"0.00";"0.39";"3900000";"0.33,0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33"
"popular long hairstyles for guys";"70";"81.07";"0.00";"http://hairstylefoto.com/cool-long-hairstyles-guys/";"0.00";"0.04";"157000000";"0.33,0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33"
"bob haircut asian";"20";"79.87";"0.00";"http://hairstylefoto.com/asian-short-bob-hairstyles/";"0.00";"0.00";"2330000";"0.33,0.67,0.67,0.67,0.67,1.00,0.67,1.00,0.67,1.00,0.67,1.00"
"black hairstyles with fringe";"10";"85.40";"0.00";"http://hairstylefoto.com/black-fringe-hairstyles/";"0.00";"0.00";"21200000";"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00"
"short layered hairstyles for mature woman";"70";"83.77";"0.00";"http://hairstylefoto.com/short-layered-hairstyles-for-the-mature-woman/";"0.00";"0.26";"1930000";"0.11,1.00,0.78,0.33,0.78,0.11,0.11,0.11,0.44,0.78,0.78,0.44"
"step by step prom hair";"20";"91.54";"0.00";"http://hairstylefoto.com/prom-hairstyles-for-long-hair-step-by-step/";"0.00";"0.38";"12400000";"0.57,1.00,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
"medium haircuts without bangs";"40";"71.58";"0.00";"http://hairstylefoto.com/short-haircuts-without-bangs/";"0.00";"0.01";"61700000";"0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.40,0.40,0.60,1.00,0.60"
"twist for short natural hair";"40";"77.58";"0.44";"http://hairstylefoto.com/twist-styles-for-short-natural-hair/";"0.00";"0.15";"2300000";"0.22,0.56,0.33,1.00,0.33,0.22,0.11,0.56,0.56,0.78,0.56,0.78"
"layered long bob haircut";"10";"86.36";"0.00";"http://hairstylefoto.com/layered-long-bob-haircut/";"0.00";"0.00";"1920000";"0.50,0.50,0.50,0.50,1.00,0.50,0.50,1.00,0.50,1.00,1.00,0.50"
"brown underneath hair";"20";"78.34";"0.00";"http://hairstylefoto.com/brown-hair-black-underneath/";"0.00";"0.00";"10600000";"0.67,0.33,0.33,0.33,0.67,0.67,0.67,0.33,0.67,1.00,1.00,1.00"
"shaggy layers";"170";"76.88";"0.00";"http://hairstylefoto.com/long-shaggy-layered-hairstyles/";"0.00";"0.01";"712000";"0.53,0.53,0.66,0.53,0.44,0.53,0.44,0.53,0.53,0.53,0.66,1.00"
"shaggy layers";"170";"76.88";"0.00";"http://hairstylefoto.com/pictures-of-long-shaggy-layered-hairstyles/";"0.00";"0.01";"712000";"0.53,0.53,0.66,0.53,0.44,0.53,0.44,0.53,0.53,0.53,0.66,1.00"
"how to do a bob haircut step by step";"70";"86.63";"0.00";"http://hairstylefoto.com/easy-to-do-hairstyles-for-long-hair-step-by-step/";"0.00";"0.04";"7080000";"0.56,0.56,1.00,0.44,1.00,0.11,0.22,0.78,0.22,0.44,0.44,0.56"
"tween boy hairstyles";"50";"71.90";"0.00";"http://hairstylefoto.com/hairstyles-for-tween-boys/";"0.00";"0.21";"2160000";"1.00,0.82,0.36,0.36,0.45,0.45,0.27,0.27,0.36,0.36,0.36,0.36"
"very long ombre hair";"40";"80.79";"0.00";"http://hairstylefoto.com/ombre-hair-color-for-long-hair/";"0.00";"0.07";"6450000";"1.00,0.44,0.33,1.00,0.33,0.33,0.11,0.56,0.11,0.78,0.78,0.44"
"medium length haircuts for long faces";"70";"83.99";"0.00";"http://hairstylefoto.com/medium-length-haircuts-for-long-faces/";"0.00";"0.14";"3800000";"0.56,1.00,1.00,0.78,1.00,0.56,0.78,0.78,0.56,0.56,0.56,0.56"
"school hairstyles for curly hair";"90";"75.83";"0.00";"http://hairstylefoto.com/easy-hairstyles-for-long-curly-hair-for-school/";"0.00";"0.03";"13500000";"0.19,0.24,0.19,0.19,0.24,1.00,0.81,0.67,0.52,0.43,0.33,0.19"
"preppy haircuts for men";"20";"78.12";"0.00";"http://hairstylefoto.com/preppy-hairstyles-for-long-hair/";"0.00";"0.01";"2070000";"0.50,0.50,0.50,0.25,0.75,1.00,0.25,0.25,0.25,0.50,0.25,0.25"
"2015 black short haircuts";"140";"77.80";"0.00";"http://hairstylefoto.com/short-haircuts-for-black-women-2015/";"0.00";"0.06";"16300000";"0.43,0.81,1.00,1.00,1.00,1.00,1.00,0.52,0.24,0.24,0.10,0.05"
"black sophisticated short hairstyles";"20";"80.59";"0.00";"http://hairstylefoto.com/sophisticated-hairstyles-for-short-hair/";"0.00";"0.20";"5390000";"0.33,0.33,0.67,0.33,0.67,0.67,0.33,0.67,1.00,0.67,0.33,0.33"
"cute hairstyles for short hair no heat";"70";"78.01";"0.00";"http://hairstylefoto.com/hairstyles-for-long-hair-no-heat/";"0.00";"0.07";"6010000";"0.56,0.11,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.11"
"very long silky hair";"10";"88.66";"0.00";"http://hairstylefoto.com/hairstyles-for-long-silky-hair/";"0.00";"0.45";"5490000";"1.00,0.33,0.33,0.33,0.67,0.67,0.33,0.33,0.33,0.33,1.00,0.33"
"hairstyles blonde on top brown underneath";"30";"85.26";"0.05";"http://hairstylefoto.com/blonde-on-top-black-underneath-hairstyles/";"0.00";"0.03";"8370000";"0.43,0.43,0.43,0.29,0.57,1.00,1.00,0.71,0.29,0.14,0.14,0.29"
"blonde hair with peekaboo lowlights";"30";"75.91";"0.00";"http://hairstylefoto.com/short-haircuts-with-highlights-and-lowlights/";"0.00";"0.03";"1020000";"0.50,0.25,0.50,1.00,0.50,0.75,0.50,1.00,0.75,1.00,0.50,0.75"
"medium length hairstyles for women with round faces";"50";"84.98";"0.00";"http://hairstylefoto.com/short-haircuts-for-black-women-with-round-faces/";"0.00";"0.03";"7620000";"0.57,0.71,1.00,0.29,1.00,0.14,0.14,0.57,0.14,0.43,0.43,0.71"
"black hair bob styles";"390";"79.48";"0.23";"http://hairstylefoto.com/short-layered-bob-hairstyles-african-american/";"0.00";"0.09";"1870000";"0.44,0.36,0.19,0.24,0.36,0.55,0.44,0.44,0.36,0.30,0.67,1.00"
"maid of honor hairstyles for short hair";"20";"85.93";"0.00";"http://hairstylefoto.com/maid-of-honor-hairstyles-for-long-hair/";"0.00";"0.08";"825000";"0.14,0.14,0.29,0.71,1.00,0.43,0.29,0.29,0.14,0.14,0.29,0.43"
"black short hairstyles";"14800";"80.67";"1.74";"http://hairstylefoto.com/black-short-hairstyles-for-women/";"0.00";"0.22";"3970000";"0.82,0.67,0.82,0.82,1.00,0.67,0.82,0.82,0.82,1.00,0.82,0.36"
"indian mens hairstyles for short hair";"70";"77.17";"0.00";"http://hairstylefoto.com/short-hairstyles-for-indian-men/";"0.00";"0.29";"2020000";"0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,1.00,1.00,0.57"
"black girls braiding hairstyles";"50";"76.15";"0.00";"http://hairstylefoto.com/black-little-girl-braided-hairstyles/";"0.00";"0.03";"4770000";"0.57,0.43,0.71,0.71,1.00,1.00,0.71,0.57,0.57,0.71,0.71,0.43"
"surfer boy hair cut";"70";"79.12";"0.00";"http://hairstylefoto.com/cute-surfer-boys/";"0.00";"0.00";"1160000";"0.56,0.44,1.00,0.33,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.44"
"best haircut over 40";"10";"81.95";"0.00";"http://hairstylefoto.com/short-hairstyles-for-women-over-30/";"0.00";"0.00";"20900000";"0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00,0.50,1.00,0.50"
"quick hairdo";"20";"88.35";"0.00";"http://hairstylefoto.com/quick-easy-updos-for-long-hair/";"0.00";"0.20";"831000";"0.33,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67"
"long hair with a lot of layers";"110";"83.73";"0.00";"http://hairstylefoto.com/lots-of-layers-for-long-hair/";"0.00";"0.00";"2280000";"1.00,0.79,0.64,0.64,0.64,0.79,0.79,0.64,0.79,0.79,0.79,0.79"
"women short curly hair";"20";"83.58";"0.00";"http://hairstylefoto.com/short-hairstyles-for-women-with-thick-curly-hair/";"0.00";"0.44";"13400000";"0.75,0.50,0.50,0.50,0.75,0.50,0.50,0.50,1.00,0.25,0.75,0.75"
"short haircuts emo";"20";"87.63";"0.00";"http://hairstylefoto.com/short-emo-girl-haircuts/";"0.00";"0.15";"805000";"0.75,0.25,0.25,0.50,0.75,1.00,0.50,0.25,0.50,0.25,0.50,0.25"
"blonde hairstyles bob";"10";"84.49";"0.00";"http://hairstylefoto.com/short-bob-blonde-hairstyles/";"0.00";"0.00";"28800000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
"bob hairstyles for fine hair";"720";"80.07";"2.86";"http://hairstylefoto.com/short-bob-hairstyles-for-fine-thin-hair/";"0.00";"0.39";"1760000";"0.37,0.37,0.45,1.00,0.20,0.24,0.30,0.81,0.45,0.24,0.30,0.30"
"hairstyle bob cut";"90";"85.96";"0.00";"http://hairstylefoto.com/long-bob-cut-hairstyle/";"0.00";"0.04";"9620000";"0.29,0.12,0.06,0.12,0.53,0.53,0.29,0.82,0.53,0.29,0.65,1.00"
